read,domain,e-value
UG80354.c55f10s19|may13.P1.MID55-57.IAK27MS01A30OM.HiQual|UG80354|Uganda_Jinja;sample=UG80354;size=1;,DBLa0.12,8.5e-56
WOS26.KP220440;sample=WOS26;size=1;,DBLa2,9.4e-80
UG70195.c39f22s27|aug13.P2.MID1-2.IE15TFC02JDFMP.HiQual|UG70195|Uganda_Arua;sample=UG70195;size=2;,DBLa0.9,5.6e-47
UG50457.c42f13s20|may13.P2.MID62-62.IAK27MS02GD1LQ.HiQual|UG50457|Uganda_Kyenjojo;sample=UG50457;size=1;,DBLa0.5,1.3e-55
BK130.c42f5s7|apr11.P2.MID05.GY7WJEE02EJ4TN|BK130|Gabon_Bakoumba;sample=BK130;size=3;,DBLa0.5,1.9e-57
UG80610.c3f53s79|aug13.P2.MID57-57.IE15TFC02HGA9J.HiQual|UG80610|Uganda_Jinja;sample=UG80610;size=1;,DBLa0.3,3.5e-45
UG80302.c85f5s5|aug13.P1.MID50-51.IE15TFC01ESTD0|UG80302|Uganda_Jinja;sample=UG80302;size=1;,DBLa0.1,1.5e-58
UG10449.c135f4s4|mar13.P4.MID16.H6VQLNR04I4JDG|UG10449|Uganda_Tororo;sample=UG10449;size=1;,DBLa0.12,6.2e-58
MRS0431.c164f4s4|apr13.P2.MID29-29.H8MRBDT02JH0HZ|MRS0431|Ghana_Soe;sample=MRS0431;size=1;,DBLa0.11,5.7e-58
BK1047.c37f3s4|apr11.P3.MID56.GY7WJEE03F8JWA|BK1047|Gabon_Bakoumba;sample=BK1047;size=1;,DBLa0.1,8.5e-60
MRS0302.c137f3s4|apr13.P2.MID22-24.H8MRBDT02FRVR3|MRS0302|Ghana_VeaGowrie;sample=MRS0302;size=1;,DBLa0.8,4e-50
UG60455.c29f9s11|mar13.P2.MID39.H6VQLNR02D92IC.HiQual|UG60455|Uganda_Apac;sample=UG60455;size=1;,DBLa0.5,2.5e-61
UG50538.c27f36s48|may13.P2.MID1-2.IAK27MS02JY3OC.HiQual|UG50538|Uganda_Kyenjojo;sample=UG50538;size=2;,DBLa0.1,7.2e-50
MRS0497.c57f5s10|apr13.P2.MID33-33.H8MRBDT02HQJ4T|MRS0497|Ghana_Soe;sample=MRS0497;size=1;,DBLa0.9,2.5e-53
BK30.c34f5s5|sep11.P1.MID5.G9JXQ6K01CC172.HiQual|BK30|Gabon_Bakoumba;sample=BK30;size=2;,DBLa1.8,2.2e-52
MRS0384.c59f8s12|apr13.P1.MID26-26.H8MRBDT01B3VMZ.HiQual|MRS0384|Ghana_Soe;sample=MRS0384;size=2;,DBLa0.23,1.4e-44
P27.c26f22s26|sep11.P1.MID43.G9JXQ6K01BGC4F.HiQual|P27|Peru_Iquitos;sample=P27;size=1;,DBLa0.5,1.6e-57
MRS0667.c1f29s48|may13.P2.MID42-42.IAK27MS02FREPE.HiQual|MRS0667|Ghana_Soe;sample=MRS0667;size=8;,DBLa1.8,2.3e-53
MRS0600.c41f10s15|may13.P2.MID38-40.IAK27MS02I7V6D.HiQual|MRS0600|Ghana_Soe;sample=MRS0600;size=1;,DBLa0.5,4.2e-55
MRS0279.c236f3s3|apr13.P2.MID21-22.H8MRBDT02F4F9S|MRS0279|Ghana_VeaGowrie;sample=MRS0279;size=1;,DBLa0.8,1.3e-31
UG10781.c26f12s14|mar13.P4.MID27.H6VQLNR04H2PFF.HiQual|UG10781|Uganda_Tororo;sample=UG10781;size=1;,DBLa0.8,5.5e-52
UG80482.c44f16s22|aug13.P2.MID55-55.IE15TFC02GEC9P.HiQual|UG80482|Uganda_Jinja;sample=UG80482;size=1;,DBLa0.19,1.5e-44
UG10390.c99f8s8|mar13.P3.MID14.H6VQLNR03F9HR3_rc.HiQual|UG10390|Uganda_Tororo;sample=UG10390;size=1;,DBLa0.6,7.6e-51
MUG10.KP220316;sample=MUG10;size=1;,DBLa0.1,1.1e-97
IR35.c50f5s8|oct12.P4.MID13.HWSTXOD04JFACT.HiQual|IR35|Iran_SistanBaluchestan;sample=IR35;size=1;,DBLa0.19,7e-55
MRS0142.c89f6s6|apr13.P1.MID11-11.H8MRBDT01CDP3D|MRS0142|Ghana_VeaGowrie;sample=MRS0142;size=2;,DBLa1.4,3.4e-45
UG60098.c131f5s5|mar13.P3.MID29.H6VQLNR03FM9CN_rc|UG60098|Uganda_Apac;sample=UG60098;size=1;,DBLa0.15,9.4e-38
BK836.c37f6s11|apr11.P3.MID46.GY7WJEE03GQ4J5.HiQual|BK836|Gabon_Bakoumba;sample=BK836;size=4;,DBLa0.9,8.2e-51
MRS0357.c127f3s4|apr13.P1.MID25-25.H8MRBDT01B07BS_rc|MRS0357|Ghana_Soe;sample=MRS0357;size=1;,DBLa0.1,5.8e-59
UG30658.c21f3s3|oct12.P2.MID54.HWSTXOD02DB1UF|UG30658|Uganda_Kanungu;sample=UG30658;size=3;,DBLa0.1,5.9e-48
MRS0113.c24f3s5|apr13.P1.MID08-11.H8MRBDT01EIXJQ|MRS0113|Ghana_VeaGowrie;sample=MRS0113;size=1;,DBLa0.23,1.1e-45
BK67.c30f7s11|apr11.P2.MID03.GY7WJEE02DCN2D.HiQual|BK67|Gabon_Bakoumba;sample=BK67;size=4;,DBLa0.1,9.9e-56
P58.c1f12s18|sep11.P4.MID48.G9JXQ6K04IGIU5.HiQual|P58|Peru_Iquitos;sample=P58;size=19;,DBLa0.9,1.2e-47
UG70723.c129f6s9|aug13.P2.MID60-61.IE15TFC02JO107|UG70723|Uganda_Arua;sample=UG70723;size=1;,DBLa0.5,1.3e-59
UG80567.c160f3s3|aug13.P1.MID56-57.IE15TFC01D9U52|UG80567|Uganda_Jinja;sample=UG80567;size=1;,DBLa0.9,1e-35
MRS0717.c88f6s8|may13.P2.MID45-47.IAK27MS02HTLEG|MRS0717|Ghana_Soe;sample=MRS0717;size=1;,DBLa0.22,3.7e-49
BK614.c28f5s6|apr11.P1.MID36.GY7WJEE01BYJPC|BK614|Gabon_Bakoumba;sample=BK614;size=1;,DBLa0.6,5.9e-50
UG70657.c44f11s25|aug13.P2.MID13-13.IE15TFC02JMRJA.HiQual|UG70657|Uganda_Arua;sample=UG70657;size=1;,DBLa0.8,1.1e-52
MRS0194.c115f5s5|apr13.P2.MID16-16.H8MRBDT02ICZ6M|MRS0194|Ghana_VeaGowrie;sample=MRS0194;size=3;,DBLa0.20,8.8e-49
BK559.c23f6s7|apr11.P4.MID31.GY7WJEE04IMKOC|BK559|Gabon_Bakoumba;sample=BK559;size=1;,DBLa0.16,1.1e-52
BK461.c40f5s7|apr11.P3.MID23.GY7WJEE03F09NN|BK461|Gabon_Bakoumba;sample=BK461;size=1;,DBLa0.5,2.4e-53
UG60238.c200f3s3|mar13.P3.MID32.H6VQLNR03FIOBZ|UG60238|Uganda_Apac;sample=UG60238;size=1;,DBLa1.8,1.4e-54
BK868.c27f33s44|apr11.P3.MID47.GY7WJEE03GEEU2.HiQual|BK868|Gabon_Bakoumba;sample=BK868;size=1;,DBLa0.5,4.9e-53
MRS0034.c40f4s4|apr13.P2.MID03-03.H8MRBDT02J1OT6|MRS0034|Ghana_VeaGowrie;sample=MRS0034;size=1;,DBLa0.9,1.7e-48
UG60525.c39f13s16|mar13.P1.MID42.H6VQLNR01BUKB2.HiQual|UG60525|Uganda_Apac;sample=UG60525;size=1;,DBLa0.13,1.8e-50
UG60740.c109f4s4|mar13.P4.MID48.H6VQLNR04H8YXE_rc|UG60740|Uganda_Apac;sample=UG60740;size=1;,DBLa0.9,6.2e-51
MRS0484.c177f7s10|apr13.P2.MID32-32.H8MRBDT02FR8L5|MRS0484|Ghana_Soe;sample=MRS0484;size=1;,DBLa0.1,7.5e-54
BK753.c38f4s7|apr11.P2.MID43.GY7WJEE02DJBK1|BK753|Gabon_Bakoumba;sample=BK753;size=1;,DBLa0.15,9.2e-46
UG70213.c19f8s16|aug13.P1.MID2-2.IE15TFC01ATAT9.HiQual|UG70213|Uganda_Arua;sample=UG70213;size=1;,DBLa0.1,7.7e-55
MRS0389.c64f4s9|apr13.P1.MID26-27.H8MRBDT01DKDMB|MRS0389|Ghana_Soe;sample=MRS0389;size=1;,DBLa0.8,1.4e-52
UG70697.c32f14s19|aug13.P2.MID14-15.IE15TFC02IFM50.HiQual|UG70697|Uganda_Arua;sample=UG70697;size=1;,DBLa0.19,2.9e-58
UG10147.c23f23s29|mar13.P4.MID03.H6VQLNR04JQCY6.HiQual|UG10147|Uganda_Tororo;sample=UG10147;size=2;,DBLa0.1,2.4e-49
BK765.c31f5s7|apr11.P3.MID43.GY7WJEE03F74DZ|BK765|Gabon_Bakoumba;sample=BK765;size=1;,DBLa0.11,4e-54
MRS0595.c32f8s17|may13.P1.MID38-39.IAK27MS01DYMLV|MRS0595|Ghana_Soe;sample=MRS0595;size=1;,DBLa0.5,3.8e-60
MRS0236.c98f8s9|apr13.P2.MID19-19.H8MRBDT02IU15V.HiQual|MRS0236|Ghana_VeaGowrie;sample=MRS0236;size=1;,DBLa0.11,1.6e-60
UG10231.c53f4s16|mar13.P2.MID07.H6VQLNR02DJR2D_rc|UG10231|Uganda_Tororo;sample=UG10231;size=1;,DBLa1.4,1.9e-47
UG50249.c20f43s52|may13.P1.MID59-60.IAK27MS01DIQM1.HiQual|UG50249|Uganda_Kyenjojo;sample=UG50249;size=2;,DBLa0.5,4.1e-53
UG10722.c95f5s6|mar13.P3.MID25.H6VQLNR03F35BM|UG10722|Uganda_Tororo;sample=UG10722;size=3;,DBLa1.8,1.3e-54
UG80133.c129f3s4|aug13.P1.MID46-46.IE15TFC01B0TKZ|UG80133|Uganda_Jinja;sample=UG80133;size=1;,DBLa0.1,4.4e-55
UG60610.c99f7s7|mar13.P4.MID44.H6VQLNR04I7DTV_rc|UG60610|Uganda_Apac;sample=UG60610;size=1;,DBLa1.8,1.3e-55
2329.c10f14s18|sep11.P4.MID23.G9JXQ6K04I0F80.HiQual|2329|Peru;sample=2329;size=6;,DBLa0.12,6.1e-54
MRS0098.c6f16s27|apr13.P1.MID07-08.H8MRBDT01BP4F8|MRS0098|Ghana_VeaGowrie;sample=MRS0098;size=1;,DBLa0.1,5.2e-57
UG70220.c33f16s19|aug13.P2.MID2-2.IE15TFC02HYCNC.HiQual|UG70220|Uganda_Arua;sample=UG70220;size=1;,DBLa0.11,4e-59
UG10040.c81f4s4|mar13.P3.MID01.H6VQLNR03F9HG2_rc|UG10040|Uganda_Tororo;sample=UG10040;size=1;,DBLa0.3,4.1e-49
MRS0635.c160f6s7|may13.P2.MID40-41.IAK27MS02JV7SK.HiQual|MRS0635|Ghana_Soe;sample=MRS0635;size=1;,DBLa0.1,1.6e-57
UG10437.c60f5s11|mar13.P3.MID16.H6VQLNR03FQZUT|UG10437|Uganda_Tororo;sample=UG10437;size=1;,DBLa0.8,3.4e-51
UG70793.c40f8s17|aug13.P1.MID61-62.IE15TFC01A8ND4|UG70793|Uganda_Arua;sample=UG70793;size=1;,DBLa0.11,2.7e-57
UG30100.c18f31s46|oct12.P2.MID37.HWSTXOD02DO8O8.HiQual|UG30100|Uganda_Kanungu;sample=UG30100;size=4;,DBLa0.18,9.5e-44
BK209.c153f3s3|apr11.P2.MID08.GY7WJEE02EW2J7|BK209|Gabon_Bakoumba;sample=BK209;size=1;,DBLa0.1,3.7e-53
UG60281.c112f5s5|mar13.P2.MID33.H6VQLNR02D3RUS|UG60281|Uganda_Apac;sample=UG60281;size=1;,DBLa0.19,1.1e-36
UG50504.c57f8s13|may13.P2.MID1-1.IAK27MS02H6EHE|UG50504|Uganda_Kyenjojo;sample=UG50504;size=1;,DBLa0.6,6.1e-52
BK269.c58f3s3|sep11.P3.MID10.G9JXQ6K03FU3VM|BK269|Gabon_Bakoumba;sample=BK269;size=4;,DBLa0.24,4.1e-45
UG60434.c183f3s3|mar13.P3.MID38.H6VQLNR03FYB88_rc|UG60434|Uganda_Apac;sample=UG60434;size=1;,DBLa0.11,5.8e-54
UG80354.c36f20s28|may13.P1.MID55-57.IAK27MS01CQQA9.HiQual|UG80354|Uganda_Jinja;sample=UG80354;size=1;,DBLa0.1,1.9e-56
MRS0488.c25f25s30|apr13.P1.MID32-34.H8MRBDT01C4NNK.HiQual|MRS0488|Ghana_Soe;sample=MRS0488;size=3;,DBLa0.12,1.3e-54
UG10370.c174f3s4|mar13.P2.MID13.H6VQLNR02DW53J|UG10370|Uganda_Tororo;sample=UG10370;size=2;,DBLa0.5,8.2e-56
MRS0423.c27f8s11|apr13.P2.MID28-28.H8MRBDT02GJUPI.HiQual|MRS0423|Ghana_Soe;sample=MRS0423;size=3;,DBLa0.21,7e-49
UG60139.c5f33s51|mar13.P4.MID29.H6VQLNR04JQQ1G.HiQual|UG60139|Uganda_Apac;sample=UG60139;size=4;,DBLa0.19,1.9e-54
UG10035.c116f3s6|mar13.P2.MID01.H6VQLNR02D507Z|UG10035|Uganda_Tororo;sample=UG10035;size=2;,DBLa0.1,1.5e-53
IR19.c2f32s37|oct12.P2.MID7.HWSTXOD02D1Y1O.HiQual|IR19|Iran_SistanBaluchestan;sample=IR19;size=2;,DBLa0.8,4.7e-53
RN86.c36f4s4|oct12.P1.MID29.HWSTXOD01B6WCD|RN86|Thailand_Ranong;sample=RN86;size=1;,DBLa0.19,2e-40
UG10623.c118f3s3|mar13.P3.MID21.H6VQLNR03G7QQT_rc|UG10623|Uganda_Tororo;sample=UG10623;size=1;,DBLa0.11,1.1e-54
UG10763.c11f6s19|mar13.P3.MID26.H6VQLNR03HBBX5_rc|UG10763|Uganda_Tororo;sample=UG10763;size=1;,DBLa1.4,1.1e-48
MRS0337.c67f21s23|jul13.P1.MID39-39.IDA9VQ201B3R21.HiQual|MRS0337|Ghana_VeaGowrie;sample=MRS0337;size=1;,DBLa0.5,1.2e-47
UG80083.c193f3s3|may13.P2.MID54-55.IAK27MS02FO2L5|UG80083|Uganda_Jinja;sample=UG80083;size=1;,DBLa0.5,1.1e-53
UG70307.c83f5s11|aug13.P2.MID4-5.IE15TFC02F8DYK|UG70307|Uganda_Arua;sample=UG70307;size=1;,DBLa0.20,8.7e-47
BK863.c23f9s14|apr11.P2.MID47.GY7WJEE02DIV83.HiQual|BK863|Gabon_Bakoumba;sample=BK863;size=5;,DBLa0.5,8.8e-60
UG10781.c102f3s5|mar13.P4.MID27.H6VQLNR04JDWLI|UG10781|Uganda_Tororo;sample=UG10781;size=1;,DBLa0.14,4e-32
WOS7.KP221174;sample=WOS7;size=1;,DBLa0.1,1.2e-96
MRS0318.c123f9s11|apr13.P2.MID23-24.H8MRBDT02FV4IZ.HiQual|MRS0318|Ghana_VeaGowrie;sample=MRS0318;size=1;,DBLa0.17,1.2e-57
UG10362.c141f3s4|mar13.P4.MID11.H6VQLNR04IHW1M|UG10362|Uganda_Tororo;sample=UG10362;size=1;,DBLa1.2,5.8e-52
RN104.c34f4s7|oct12.P1.MID30.HWSTXOD01BDMFA|RN104|Thailand_Ranong;sample=RN104;size=1;,DBLa0.3,1.1e-39
MRS0645.c16f4s8|may13.P1.MID40-42.IAK27MS01AVO1P|MRS0645|Ghana_Soe;sample=MRS0645;size=1;,DBLa0.11,1.2e-58
MRS0009.c70f8s8|apr13.P1.MID02-02.H8MRBDT01EOMTF|MRS0009|Ghana_VeaGowrie;sample=MRS0009;size=1;,DBLa0.19,2.9e-51
IR27.c16f23s27|oct12.P3.MID3.HWSTXOD03HEYRL.HiQual|IR27|Iran_SistanBaluchestan;sample=IR27;size=1;,DBLa0.1,2.1e-51
UG70742.c79f7s8|aug13.P2.MID60-62.IE15TFC02ILBQN|UG70742|Uganda_Arua;sample=UG70742;size=1;,DBLa0.1,6.9e-57
UG70118.c211f3s3|aug13.P2.MID62-1.IE15TFC02J21UZ|UG70118|Uganda_Arua;sample=UG70118;size=1;,DBLa0.5,5e-31
UG70203.c55f4s11|aug13.P1.MID1-3.IE15TFC01DCC2G|UG70203|Uganda_Arua;sample=UG70203;size=1;,DBLa0.8,2.6e-50
MRS0412.c197f4s5|apr13.P2.MID27-29.H8MRBDT02GIEPX|MRS0412|Ghana_Soe;sample=MRS0412;size=1;,DBLa0.5,5.6e-57
UG80062.c9f58s78|aug13.P2.MID43-43.IE15TFC02JOJ07.HiQual|UG80062|Uganda_Jinja;sample=UG80062;size=1;,DBLa1.5,2.1e-45
UG70543.c6f29s43|aug13.P2.MID8-11.IE15TFC02IMMHR|UG70543|Uganda_Arua;sample=UG70543;size=1;,DBLa0.11,2e-55
UG70081.c63f3s3|aug13.P2.MID59-61.IE15TFC02FSGGR|UG70081|Uganda_Arua;sample=UG70081;size=1;,DBLa0.4,2.5e-42
UG10449.c92f6s6|mar13.P4.MID16.H6VQLNR04I9S1M|UG10449|Uganda_Tororo;sample=UG10449;size=1;,DBLa0.14,2.8e-56
MRS0357.c86f4s5|apr13.P1.MID25-25.H8MRBDT01EPFH7|MRS0357|Ghana_Soe;sample=MRS0357;size=1;,DBLa0.5,2.2e-58
BK1009.c1f36s46|apr11.P4.MID53.GY7WJEE04H074I.HiQual|BK1009|Gabon_Bakoumba;sample=BK1009;size=1;,DBLa0.5,1.5e-45
BK394.c2f27s39|apr11.P3.MID17.GY7WJEE03GJ39L.HiQual|BK394|Gabon_Bakoumba;sample=BK394;size=2;,DBLa0.2,3.9e-46
MRS0423.c133f4s5|apr13.P2.MID28-28.H8MRBDT02JAUWG|MRS0423|Ghana_Soe;sample=MRS0423;size=2;,DBLa0.5,1.1e-59
MRS0423.c84f4s7|apr13.P2.MID28-28.H8MRBDT02IW280_rc|MRS0423|Ghana_Soe;sample=MRS0423;size=1;,DBLa0.8,4.3e-51
MRS0118.c18f5s8|apr13.P1.MID10-10.H8MRBDT01D92HI|MRS0118|Ghana_VeaGowrie;sample=MRS0118;size=1;,DBLa0.17,9.6e-51
MRS0404.c82f3s4|apr13.P1.MID27-28.H8MRBDT01A1T7Y_rc|MRS0404|Ghana_Soe;sample=MRS0404;size=1;,DBLa0.1,4.6e-53
BK954.c12f7s7|apr11.P1.MID51.GY7WJEE01B2292.HiQual|BK954|Gabon_Bakoumba;sample=BK954;size=1;,DBLa0.5,8.4e-51
UG70666.c15f43s52|aug13.P2.MID13-14.IE15TFC02J0FKV.HiQual|UG70666|Uganda_Arua;sample=UG70666;size=1;,DBLa1.8,2.9e-51
UG50807.c39f14s25|aug13.P1.MID40-42.IE15TFC01B3WEV.HiQual|UG50807|Uganda_Kyenjojo;sample=UG50807;size=1;,DBLa0.1,1.4e-54
UG80757.c20f33s40|may13.P2.MID58-58.IAK27MS02GCRLM.HiQual|UG80757|Uganda_Jinja;sample=UG80757;size=1;,DBLa0.1,3.3e-60
UG60620.c137f5s6|mar13.P2.MID45.H6VQLNR02D6IAN|UG60620|Uganda_Apac;sample=UG60620;size=1;,DBLa1.8,2.8e-50
UG60773.c23f7s25|mar13.P4.MID49.H6VQLNR04H6KQH|UG60773|Uganda_Apac;sample=UG60773;size=1;,DBLa0.14,1.2e-57
UG70258.c32f18s34|aug13.P2.MID2-3.IE15TFC02FVQZ9|UG70258|Uganda_Arua;sample=UG70258;size=1;,DBLa0.6,4.9e-45
UG80567.c114f3s6|aug13.P1.MID56-57.IE15TFC01B6LXJ_rc|UG80567|Uganda_Jinja;sample=UG80567;size=1;,DBLa0.12,3e-48
MH40.c53f8s10|oct12.P4.MID21.HWSTXOD04I4NAH|MH40|Thailand_Maehongson;sample=MH40;size=1;,DBLa0.1,3.2e-59
BK381.c3f28s37|apr11.P4.MID16.GY7WJEE04I3KW8.HiQual|BK381|Gabon_Bakoumba;sample=BK381;size=7;,DBLa0.9,1.9e-50
UG50538.c47f3s8|may13.P2.MID1-2.IAK27MS02F0N1M|UG50538|Uganda_Kyenjojo;sample=UG50538;size=2;,DBLa1.2,7.1e-50
UG50711.c31f17s22|may13.P2.MID5-5.IAK27MS02G572N.HiQual|UG50711|Uganda_Kyenjojo;sample=UG50711;size=1;,DBLa0.5,2.4e-58
MRS0433.c52f18s29|apr13.P1.MID29-30.H8MRBDT01CFDPZ.HiQual|MRS0433|Ghana_Soe;sample=MRS0433;size=1;,DBLa0.1,5.6e-56
IR6.c39f8s9|oct12.P4.MID1.HWSTXOD04I41JG.HiQual|IR6|Iran_SistanBaluchestan;sample=IR6;size=1;,DBLa0.1,1.2e-59
UG10367.c86f7s9|mar13.P1.MID13.H6VQLNR01AO4XL_rc.HiQual|UG10367|Uganda_Tororo;sample=UG10367;size=2;,DBLa0.3,3.1e-43
MRS0329.c46f18s20|jul13.P1.MID35-35.IDA9VQ201AFUBS.HiQual|MRS0329|Ghana_VeaGowrie;sample=MRS0329;size=1;,DBLa0.11,4.7e-58
UG70416.c38f17s22|aug13.P1.MID5-6.IE15TFC01EBAQN.HiQual|UG70416|Uganda_Arua;sample=UG70416;size=5;,DBLa0.11,2.9e-53
UG30804.c51f9s14|oct12.P2.MID59.HWSTXOD02DD2OI.HiQual|UG30804|Uganda_Kanungu;sample=UG30804;size=1;,DBLa0.9,2.3e-56
MRS0332.c7f12s23|jul13.P1.MID35-36.IDA9VQ201BEOA7.HiQual|MRS0332|Ghana_VeaGowrie;sample=MRS0332;size=2;,DBLa1.8,1e-56
BK1051.c87f3s5|apr11.P3.MID59.GY7WJEE03FXQXL_rc|BK1051|Gabon_Bakoumba;sample=BK1051;size=3;,DBLa0.11,4.3e-59
UG70705.c53f11s15|aug13.P1.MID14-15.IE15TFC01C6GDE.HiQual|UG70705|Uganda_Arua;sample=UG70705;size=1;,DBLa0.1,1.8e-58
UG10503.c29f23s31|mar13.P4.MID17.H6VQLNR04JT0ZW.HiQual|UG10503|Uganda_Tororo;sample=UG10503;size=1;,DBLa0.1,4.4e-54
BK586.c38f7s11|apr11.P1.MID34.GY7WJEE01A8YW1|BK586|Gabon_Bakoumba;sample=BK586;size=1;,DBLa0.1,4e-52
3D7.c36f14s15|aug13.P1.MID15-18.IE15TFC01A2XK0|3D7|3D7;sample=3D7;size=3;,DBLa0.7,5.6e-52
UG30470.c14f44s56|oct12.P3.MID46.HWSTXOD03HCY9X.HiQual|UG30470|Uganda_Kanungu;sample=UG30470;size=6;,DBLa0.6,1.5e-50
MRS0423.c55f5s9|apr13.P2.MID28-28.H8MRBDT02HOXBW|MRS0423|Ghana_Soe;sample=MRS0423;size=1;,DBLa0.12,4e-49
MRS0722.c47f11s18|may13.P2.MID46-46.IAK27MS02I8D56.HiQual|MRS0722|Ghana_Soe;sample=MRS0722;size=1;,DBLa0.5,2.3e-52
MRS0706.c92f3s3|may13.P1.MID45-45.IAK27MS01AO5EG|MRS0706|Ghana_Soe;sample=MRS0706;size=1;,DBLa0.1,3e-60
UG10150.c64f12s14|mar13.P1.MID04.H6VQLNR01B0DGW|UG10150|Uganda_Tororo;sample=UG10150;size=1;,DBLa0.22,1.2e-63
Col30.c7f48s64|sep11.P3.MID38.G9JXQ6K03GOPDO.HiQual|Col30|Colombia_Turbo;sample=Col30;size=1;,DBLa0.5,2.2e-58
MRS0135.c6f5s7|apr13.P1.MID10-13.H8MRBDT01EF4QS|MRS0135|Ghana_VeaGowrie;sample=MRS0135;size=1;,DBLa0.1,2.3e-55
UG70504.c90f3s5|aug13.P1.MID8-10.IE15TFC01DUABG|UG70504|Uganda_Arua;sample=UG70504;size=1;,DBLa0.9,4.5e-53
UG70260.c108f3s7|aug13.P1.MID2-4.IE15TFC01D2PU0|UG70260|Uganda_Arua;sample=UG70260;size=1;,DBLa0.5,7.5e-53
BK67.c87f6s6|apr11.P2.MID03.GY7WJEE02DAX3W_rc|BK67|Gabon_Bakoumba;sample=BK67;size=1;,DBLa0.8,3.2e-54
UG80567.c125f4s5|aug13.P1.MID56-57.IE15TFC01CR4I4_rc|UG80567|Uganda_Jinja;sample=UG80567;size=1;,DBLa0.11,1.6e-47
MRS0264.c38f4s8|apr13.P1.MID21-21.H8MRBDT01BLWCA_rc|MRS0264|Ghana_VeaGowrie;sample=MRS0264;size=1;,DBLa0.8,3.7e-52
UG80148.c13f23s56|may13.P2.MID54-56.IAK27MS02GEIAV.HiQual|UG80148|Uganda_Jinja;sample=UG80148;size=1;,DBLa0.22,9.5e-55
MRS0329.c2f79s84|jul13.P1.MID35-35.IDA9VQ201DZUG9.HiQual|MRS0329|Ghana_VeaGowrie;sample=MRS0329;size=1;,DBLa0.6,2.5e-51
UG70657.c41f16s27|aug13.P2.MID13-13.IE15TFC02FQVCC|UG70657|Uganda_Arua;sample=UG70657;size=1;,DBLa0.14,3.8e-47
UG60726.c50f15s20|mar13.P1.MID48.H6VQLNR01AO5N9.HiQual|UG60726|Uganda_Apac;sample=UG60726;size=1;,DBLa0.11,2.2e-59
UG80667.c65f3s3|aug13.P2.MID57-59.IE15TFC02HVCXX|UG80667|Uganda_Jinja;sample=UG80667;size=1;,DBLa0.9,5.8e-49
UG70630.c35f14s16|aug13.P1.MID11-13.IE15TFC01D9Q42.HiQual|UG70630|Uganda_Arua;sample=UG70630;size=5;,DBLa0.3,5.1e-42
UG30700.c1f9s10|oct12.P4.MID48.HWSTXOD04JM9CQ.HiQual|UG30700|Uganda_Kanungu;sample=UG30700;size=2;,DBLa0.22,7.4e-56
MRS0453.c21f7s17|apr13.P2.MID30-32.H8MRBDT02FJRH2|MRS0453|Ghana_Soe;sample=MRS0453;size=1;,DBLa0.11,5.5e-60
MRS0223.c72f7s8|apr13.P2.MID18-18.H8MRBDT02INJ1D.HiQual|MRS0223|Ghana_VeaGowrie;sample=MRS0223;size=3;,DBLa0.10,1.9e-49
UG10035.c96f3s7|mar13.P2.MID01.H6VQLNR02D081R|UG10035|Uganda_Tororo;sample=UG10035;size=1;,DBLa0.9,1.7e-54
BK622.c10f17s23|apr11.P1.MID37.GY7WJEE01A1PI9.HiQual|BK622|Gabon_Bakoumba;sample=BK622;size=1;,DBLa0.1,2.4e-56
UG10201.c100f3s4|mar13.P4.MID05.H6VQLNR04INE4A_rc|UG10201|Uganda_Tororo;sample=UG10201;size=1;,DBLa0.5,1.4e-46
UG60088.c89f5s7|mar13.P2.MID29.H6VQLNR02DA8NP|UG60088|Uganda_Apac;sample=UG60088;size=1;,DBLa0.3,1.4e-50
BK1050.c9f29s37|apr11.P2.MID59.GY7WJEE02DROMD.HiQual|BK1050|Gabon_Bakoumba;sample=BK1050;size=1;,DBLa0.1,2e-51
UG60356.c39f6s6|mar13.P2.MID36.H6VQLNR02EDPIB|UG60356|Uganda_Apac;sample=UG60356;size=1;,DBLa0.11,2.5e-53
UG10176.c37f4s6|mar13.P1.MID05.H6VQLNR01A8B01_rc|UG10176|Uganda_Tororo;sample=UG10176;size=3;,DBLa0.6,8.8e-51
UG30511.c18f54s106|oct12.P4.MID37.HWSTXOD04IC9J0.HiQual|UG30511|Uganda_Kanungu;sample=UG30511;size=1;,DBLa0.9,3.5e-53
UG30417.c51f3s5|oct12.P1.MID45.HWSTXOD01BU4GY|UG30417|Uganda_Kanungu;sample=UG30417;size=1;,DBLa0.11,5.2e-52
UG50569.c17f28s35|may13.P2.MID2-2.IAK27MS02JPYDE.HiQual|UG50569|Uganda_Kyenjojo;sample=UG50569;size=2;,DBLa0.8,1.7e-51
UG10255.c31f12s28|mar13.P1.MID08.H6VQLNR01ARXQU.HiQual|UG10255|Uganda_Tororo;sample=UG10255;size=1;,DBLa0.5,1.7e-53
UG70793.c43f9s14|aug13.P1.MID61-62.IE15TFC01EGFPH.HiQual|UG70793|Uganda_Arua;sample=UG70793;size=1;,DBLa0.5,7.1e-55
UG30734.c22f21s35|mar13.P1.MID44.H6VQLNR01BT5B8|UG30734|Uganda_Kanungu;sample=UG30734;size=1;,DBLa0.24,2.3e-48
UG10640.c89f4s4|mar13.P2.MID22.H6VQLNR02EQWGC|UG10640|Uganda_Tororo;sample=UG10640;size=2;,DBLa0.5,3.5e-47
